country,year,sex,age,suicides_no,population,suicides_100k_pop
Albania,2005,male,55-74 years,0,214118,0.0
Albania,2005,male,75+ years,0,38471,0.0
Albania,2006,female,15-24 years,0,283138,0.0
Albania,2006,female,25-34 years,0,186391,0.0
Albania,2006,female,35-54 years,0,388746,0.0
Albania,2006,female,5-14 years,0,267316,0.0
Albania,2006,female,55-74 years,0,215907,0.0
Albania,2006,female,75+ years,0,56011,0.0
Albania,2006,male,15-24 years,0,286679,0.0
Albania,2006,male,25-34 years,0,174092,0.0
Albania,2006,male,35-54 years,0,379076,0.0
Albania,2006,male,5-14 years,0,282678,0.0
Albania,2006,male,55-74 years,0,219360,0.0
Albania,2006,male,75+ years,0,40782,0.0
Albania,2007,female,15-24 years,13,281080,4.625017788529957
Albania,2007,female,25-34 years,8,183629,4.356610339325488
Albania,2007,female,35-54 years,14,391811,3.573151340825041
Albania,2007,female,5-14 years,0,256808,0.0
Albania,2007,female,55-74 years,9,221120,4.070188133140376
Albania,2007,female,75+ years,3,57404,5.226116646923559
Albania,2007,male,15-24 years,13,288349,4.508425553756039
Albania,2007,male,25-34 years,9,172494,5.217572785140352
Albania,2007,male,35-54 years,29,378626,7.659273267023394
Albania,2007,male,5-14 years,4,272497,1.4679060686906644
Albania,2007,male,55-74 years,14,224160,6.245538900785154
Albania,2007,male,75+ years,8,42366,18.883066610017465
Albania,2008,female,15-24 years,20,276073,7.244460704234025
Albania,2008,female,25-34 years,9,182663,4.9271062010368825
Albania,2008,female,35-54 years,19,393832,4.824392126592049
Albania,2008,female,5-14 years,1,246288,0.4060287143506789
Albania,2008,female,55-74 years,7,226448,3.0912174097364513
Albania,2008,female,75+ years,5,59369,8.421903687109435
Albania,2008,male,15-24 years,11,286702,3.836736402257396
Albania,2008,male,25-34 years,21,172855,12.148910936912442
Albania,2008,male,35-54 years,37,377119,9.811226695021995
Albania,2008,male,5-14 years,7,262464,2.6670324311143623
Albania,2008,male,55-74 years,21,228672,9.183459277917716
Albania,2008,male,75+ years,2,44574,4.486920626374119
Albania,2009,female,15-24 years,0,270003,0.0
Albania,2009,female,25-34 years,0,182712,0.0
Albania,2009,female,35-54 years,0,394286,0.0
Albania,2009,female,5-14 years,0,236174,0.0
Albania,2009,female,55-74 years,0,233302,0.0
Albania,2009,female,75+ years,0,61582,0.0
Albania,2009,male,15-24 years,0,283448,0.0
Albania,2009,male,25-34 years,0,174955,0.0
Albania,2009,male,35-54 years,0,374365,0.0
Albania,2009,male,5-14 years,0,253007,0.0
Albania,2009,male,55-74 years,0,234570,0.0
Albania,2009,male,75+ years,0,47331,0.0
Albania,2010,female,15-24 years,6,263581,2.2763401003865984
Albania,2010,female,25-34 years,6,183579,3.268347686826925
Albania,2010,female,35-54 years,12,394593,3.0411081798207267
Albania,2010,female,5-14 years,2,223969,0.8929807250110506
Albania,2010,female,55-74 years,7,241491,2.8986587491873403
Albania,2010,female,75+ years,2,64415,3.10486687883257
Albania,2010,male,15-24 years,10,279508,3.577715128010647
Albania,2010,male,25-34 years,9,179720,5.0077898953928335
Albania,2010,male,35-54 years,20,371611,5.381972008363585
Albania,2010,male,5-14 years,0,240939,0.0
Albania,2010,male,55-74 years,20,241852,8.269520202437855
Albania,2010,male,75+ years,2,50767,3.93956704158213
Antigua and Barbuda,1985,female,15-24 years,0,7709,0.0
Antigua and Barbuda,1985,female,25-34 years,0,6344,0.0
Antigua and Barbuda,1985,female,35-54 years,0,6173,0.0
Antigua and Barbuda,1985,female,5-14 years,0,7339,0.0
Antigua and Barbuda,1985,female,55-74 years,0,3778,0.0
Antigua and Barbuda,1985,female,75+ years,0,949,0.0
Antigua and Barbuda,1985,male,15-24 years,0,7667,0.0
Antigua and Barbuda,1985,male,25-34 years,0,6194,0.0
Antigua and Barbuda,1985,male,35-54 years,0,5970,0.0
Antigua and Barbuda,1985,male,5-14 years,0,7304,0.0
Antigua and Barbuda,1985,male,55-74 years,0,2723,0.0
Antigua and Barbuda,1985,male,75+ years,0,424,0.0
